Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259469,5.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259469,7.03,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259469,10.58,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259469,10.80,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259469,28.13,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259469,48.88,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Subsistence UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259470,6.17,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259470,9.44,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Subsistence UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259470,30.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259470,48.88,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259471,2.80,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259472,6.05,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259472,11.16,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Taxi Services Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259472,12.09,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Rail Travel Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259472,17.68,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259472,20.18,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259472,21.76,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259472,63.15,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259473,2.49,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259473,2.70,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Taxi Services UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259473,15.40,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Coference and Exhibition Services,UK Space Agency - UK Space Agency,CENTRAL HALL WESTMINSTER LTD,259529,3618.75,,SW1H 9NH,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,Current Grants To Private Sector - NPISH,UK Space Agency - UK Space Agency,Oxford Innovation Ltd,259579,7950.00,,OX1 1BY,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,Eye Tests,UKSA - UKSA,"Personal Expense, Name Withheld",259626,25.00,,,
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Consultancy Expenditure,UK Space Agency - UK Space Agency,Caribou Digital (UK) Ltd,259639,40357.01,,GU10 4NF,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Sponsorship Support,UK Space Agency - UK Space Agency,THE REMOTE SENSING AND PHOTOGRAMMETRY SOCIETY (RSPSOC),259643,750.00,,NG7 2RD,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Sponsorship Support,UK Space Agency - UK Space Agency,THE REMOTE SENSING AND PHOTOGRAMMETRY SOCIETY (RSPSOC),259644,400.00,,NG7 2RD,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,Vivid Economics Ltd,259649,68357.38,,EC1N 6TD,GRANT
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Subsistence UK,UKSA - UKSA,"Personal Expense, Name Withheld",259720,4.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",259720,7.05,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Subsistence UK,UKSA - UKSA,"Personal Expense, Name Withheld",259720,11.08,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",259720,21.74,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Taxi Services UK,UKSA - UKSA,"Personal Expense, Name Withheld",259720,45.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Subsistence UK,UKSA - UKSA,"Personal Expense, Name Withheld",259720,67.04,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Rail Travel Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259721,13.68,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259721,19.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259721,36.50,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259721,41.18,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Taxi Services Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259721,70.47,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Taxi Services UK,UKSA - UKSA,"Personal Expense, Name Withheld",259722,11.40,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Hotel & Accommodation Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259723,5.35,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259723,9.20,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259723,11.19,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259723,22.77,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259723,25.94,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",259723,31.56,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Taxi Services Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259723,47.84,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Subsistence UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259724,9.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259724,10.60,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259724,137.70,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259725,5.12,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Rail Travel Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259725,8.45,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259725,12.01,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259725,15.88,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259725,20.94,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259725,28.80,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259728,6.58,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259728,25.15,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",259731,7.43,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",259731,7.47,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Rail Travel UK,UKSA - UKSA,"Personal Expense, Name Withheld",259731,8.30,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",259731,17.95,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",259731,19.36,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Subsistence UK,UKSA - UKSA,"Personal Expense, Name Withheld",259731,45.46,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",259732,7.12,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",259732,14.24,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",259732,16.47,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Rail Travel UK,UKSA - UKSA,"Personal Expense, Name Withheld",259732,17.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Taxi Services UK,UKSA - UKSA,"Personal Expense, Name Withheld",259732,36.49,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Subsistence UK,UKSA - UKSA,"Personal Expense, Name Withheld",259732,82.77,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",259733,2.14,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259734,72.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,18/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259735,73.80,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,26/10/2018,R & D Taxi Services Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",259916,24.98,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,19/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259917,7.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,19/10/2018,R & D Subsistence UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259917,9.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,19/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",259918,14.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,19/10/2018,R & D Mileage Allowance UK,UKSA - UKSA,"Personal Expense, Name Withheld",259918,24.75,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,19/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",259918,53.72,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,19/10/2018,R & D Subsistence UK,UKSA - UKSA,"Personal Expense, Name Withheld",259918,86.15,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,19/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259919,4.45,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,19/10/2018,R & D Subsistence UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259919,4.58,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,19/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",259919,61.20,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Hire of Agency Staff,UKSA - UKSA,Alexander Mann Solutions Ltd,259951,1610.36,,EC2N 3AQ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,19/10/2018,R & D Other Professional Services,UKSA - UKSA,QINETIQ LTD,259969,224188.80,,GU14 0LX,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Catering and Hospitality Expenditure,UK Space Agency - UK Space Agency,BAXTERSTOREY LTD,260037,43.55,,RG6 1PT,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Catering and Hospitality Expenditure,UK Space Agency - UK Space Agency,BAXTERSTOREY LTD,260038,103.95,,RG6 1PT,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,29/10/2018,R & D Rail Travel Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260086,4.57,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,29/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260086,10.75,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,29/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260086,14.74,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,29/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260086,28.69,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,29/10/2018,R & D Taxi Services Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260086,101.69,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260087,98.02,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Subsistence UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260089,7.99,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Rail Travel UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260089,8.07,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260089,10.05,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260089,15.74,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Taxi Services UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260089,25.34,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,22/10/2018,R & D Subsistence UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260089,49.46,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,AVANTI COMMUNICATIONS LTD,260200,439761.74,,EC4V 6EB,GRANT
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",260284,3.44,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260284,3.81,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260284,5.43,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260284,70.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Taxi Services Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260284,116.91,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,25/10/2018,R & D Taxi Services UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260285,5.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260287,41.40,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260289,10.94,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Rail Travel Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260289,12.34,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260289,23.25,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260289,27.27,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Taxi Services UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260290,82.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Taxi Services UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260291,10.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260292,2.28,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Hotel & Accommodation Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260292,2.33,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",260292,3.72,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260292,5.86,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Rail Travel Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260292,6.42,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260292,7.15,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260292,8.37,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260292,19.80,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260292,24.79,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Taxi Services Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260292,32.55,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260292,64.61,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",260293,16.55,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",260293,17.50,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",260293,24.35,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Taxi Services UK,UKSA - UKSA,"Personal Expense, Name Withheld",260293,29.73,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence UK,UKSA - UKSA,"Personal Expense, Name Withheld",260293,31.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence UK,UKSA - UKSA,"Personal Expense, Name Withheld",260293,32.65,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",260293,33.70,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Rail Travel UK,UKSA - UKSA,"Personal Expense, Name Withheld",260293,42.40,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Mileage Allowance UK,UKSA - UKSA,"Personal Expense, Name Withheld",260293,271.80,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Hotel & Accommodation UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260294,150.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,25/10/2018,R & D Subsistence UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260295,23.93,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260296,11.80,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260297,4.10,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260298,5.87,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260298,59.60,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260299,7.12,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Rail Travel Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260299,20.04,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260299,34.93,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260299,43.61,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260300,7.44,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260300,22.16,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260301,3.58,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260301,19.99,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260301,20.55,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260301,22.02,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260301,58.45,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260302,2.21,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260302,2.49,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260302,11.01,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260302,17.84,,,EMPLOYEE
